Date,Weekday,Away,Home,NBA Cup Game,Crew Chief,Referee,Umpire,Open Total,Open Home Spread,Away Points,Home Points,Actual Total,Actual Home Spread,Game Count,Over,Over Amount,Under,Under Amount,Push
45587,Tuesday,NYK,BOS,0,Zach Zarba,Mark Lindsay,Brandon Schwab,221.5,-4.5,109,132,241,-23,1,1,19.5,0,,0
45587,Tuesday,MIN,LAL,0,James Williams,Nick Buchert,JT Orr,225,1.5,103,110,213,-7,1,0,,1,12,0
45588,Wednesday,IND,DET,0,Tony Brothers,Brent Barnaky,Tyler Ricks,234,5.5,115,109,224,6,1,0,,1,10,0
45588,Wednesday,MIL,PHI,0,Scott Foster,Brian Forte,Marat Kogut,225,-4.5,124,109,233,15,1,1,8,0,,0
45588,Wednesday,CLE,TOR,0,Marc Davis,Sean Wright,JD Ralls,218.5,4.5,136,106,242,30,1,1,23.5,0,,0
45588,Wednesday,BKN,ATL,0,David Guthrie,Sean Corbin,Andy Nagy,220.5,-7.5,116,120,236,-4,1,1,15.5,0,,0
45588,Wednesday,ORL,MIA,0,Curtis Blair,John Butler,CJ Washington,210.5,-1.5,116,97,213,19,1,1,2.5,0,,0
45588,Wednesday,CHI,NOP,0,Bill Kennedy,Gediminas Petraitis,Nate Green,222.5,-7,111,123,234,-12,1,1,11.5,0,,0
45588,Wednesday,CHA,HOU,0,Ben Taylor,Eric Dalen,Robert Hussey,234.5,-6.5,110,105,215,5,1,0,,1,19.5,0
45588,Wednesday,MEM,UTA,0,James Williams,Kevin Cutler,John Conley,229,3.5,126,124,250,2,1,1,21,0,,0
45588,Wednesday,GSW,POR,0,Tyler Ford,Tre Maddox,Derrick Collins,226.5,3.5,139,104,243,35,1,1,16.5,0,,0
45588,Wednesday,PHX,LAC,0,John Goble,Nick Buchert,Scott Twardoski,225,1.5,116,113,229,3,1,1,4,0,,0
45589,Thursday,BOS,WAS,0,James Capers,Marat Kogut,Jenna Reneau,234,13.5,122,102,224,20,1,0,,1,10,0
45589,Thursday,SAS,DAL,0,Josh Tiven,Rodney Mott,Jason Goldenberg,233,-8.5,109,120,229,-11,1,0,,1,4,0
45589,Thursday,OKC,DEN,0,Kevin Scott,JT Orr,Danielle Scott,224.5,-2.5,102,87,189,15,1,0,,1,35.5,0
45589,Thursday,MIN,SAC,0,Tyler Ford,Justin Van Duyne,Suyash Mehta,227.5,-1,117,115,232,2,1,1,4.5,0,,0
45590,Friday,BKN,ORL,0,Mitchell Ervin,Gediminas Petraitis,Jonathan Sterling,216.5,-9.5,101,116,217,-15,1,1,0.5,0,,0
45590,Friday,PHI,TOR,0,Tony Brothers,Pat Fraher,Tyler Mirkovich,219.5,4,107,115,222,-8,1,1,2.5,0,,0
45590,Friday,CHA,ATL,0,Zach Zarba,Brian Forte,Mousa Dagher,230.5,-4,120,125,245,-5,1,1,14.5,0,,0
45590,Friday,DET,CLE,0,Ed Malloy,Dedric Taylor,Che Flores,226.5,-9.5,101,113,214,-12,1,0,,1,12.5,0
45590,Friday,IND,NYK,0,Bill Kennedy,JB DeRosa,John Butler,225,-5.5,98,123,221,-25,1,0,,1,4,0
45590,Friday,MEM,HOU,0,David Guthrie,Sean Corbin,Nate Green,217.5,-1.5,108,128,236,-20,1,1,18.5,0,,0
45590,Friday,CHI,MIL,0,Marc Davis,Tre Maddox,JD Ralls,230.5,-9.5,133,122,255,11,1,1,24.5,0,,0
45590,Friday,GSW,UTA,0,John Goble,Ashley Moyer-Gleich,Tom Washington,234.5,4,127,86,213,41,1,0,,1,21.5,0
45590,Friday,PHX,LAL,0,Courtney Kirkland,Jacyn Goble,Derrick Collins,229,-2.5,116,123,239,-7,1,1,10,0,,0
45590,Friday,NOP,POR,0,James Williams,Nick Buchert,John Conley,217.5,6,105,103,208,2,1,0,,1,9.5,0
